	Genus	Species	# segments	segmented
1260	Uukuvirus	Dabieshan uukuvirus	2	yes
1261	Uukuvirus	Grand Arbaud uukuvirus	3	yes
1262	Uukuvirus	Huangpi uukuvirus	3	yes
1263	Uukuvirus	Kabuto mountain uukuvirus	3	yes
1264	Uukuvirus	Kaisodi uukuvirus	3	yes
1265	Uukuvirus	Lihan uukuvirus	2	yes
1266	Uukuvirus	Murre uukuvirus	3	yes
1267	Uukuvirus	Pacific coast uukuvirus	2	yes
1268	Uukuvirus	Precarious Point uukuvirus	3	yes
1269	Uukuvirus	Rukutama uukuvirus	3	yes
1270	Uukuvirus	Schmidt uukuvirus	3	yes
1271	Uukuvirus	Silverwater uukuvirus	3	yes
1272	Uukuvirus	Tacheng uukuvirus	2	yes
1273	Uukuvirus	Uukuniemi uukuvirus	3	yes
1274	Uukuvirus	Yongjia uukuvirus	2	yes
1275	Uukuvirus	Zaliv Terpeniya uukuvirus	3	yes
1276	Varicosavirus	Varicosavirus alopecuri	2	yes
1277	Varicosavirus	Varicosavirus lactucae	2	yes
1278	Varicosavirus	Varicosavirus trifolii	2	yes
1279	Wenrivirus	Shrimp wenrivirus	3	yes
1280	Wuhivirus	Insect wuhivirus	3	yes
1281	Wumivirus	Wumivirus millepedae	3	yes
1282	Xinspivirus	Xinzhou xinspivirus	3	yes
1283	Yingvirus	Yingvirus beihaiense	2	yes
1284	Yingvirus	Yingvirus charybdis	2	yes
1285	Yingvirus	Yingvirus hubeiense	2	yes
1286	Yingvirus	Yingvirus sanxiaense	2	yes
1287	Yingvirus	Yingvirus shaheense	2	yes
1288	Yingvirus	Yingvirus wenzhouense	2	yes
1289	Yingvirus	Yingvirus wuhanense	2	yes
1290	Yingvirus	Yingvirus xinzhouense	2	yes
1291	Yuyuevirus	Yuyuevirus beihaiense	2	yes
1292	Yuyuevirus	Yuyuevirus shaheense	2	yes
1293	Hartmanivirus	Setpatvet hartmanivirus	3	yes
